part_number,id,description,footprint,tags
BMA253,5yrhy62zp8hdm99ww5r7ha990w,BMA253 Series 3.6 V 130 uA 3-Axis Digital Triaxial Acceleration Sensor - LGA-12,,
RC0603FR-072KL,98574wgn04kgp90h11jdb1px7s,100Mw Thick Film Resistors 100Ppm/ 1% 2K 0603 Chip Resistor Surface Mount Rohs,,
GJM1555C1H4R0BB01D,cw31qh93qwh3gan1e9qbwtd9g1,0402 4 pF 50 V ±0.1 pF Tolerance C0G SMT Multilayer Ceramic Capacitor,0402,
CL10A225KP8NNNC,aytessv7hyjevaqt67w5mz0kqc,10V 2.2uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,,
RNCP0603FTD10K0,9z6bhh7jmjk44bfhrt1j42f3z9,Res Thin Film 0603 10K Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD Paper T/R,,
ECS-320-10-36B2-CKM-TR,dspb3frb2pg2xbtbfqy1c01y0m,Crystal 32MHz ±10ppm (Tol) ±10ppm (Stability) 10pF FUND 40Ohm 4-Pin Mini-CSMD T/R,,
BMA423,ejm7fd2zhch6c8sgkcd2h858d5,BMA423 Series 3.6 V 150 uA 3-Axis Digital Triaxial Acceleration Sensor - LGA-12,,
RMCF0603JT110K,63yg4d2v6tk0qbyb8x29ey3p5a,Res Thick Film 0603 110K Ohm 5% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R,,
SX1262IMLTRT,9hz7bsnw32ktnagzv1mztf3e8e,SX1262 Series 3.7 V 22 dBm 960 MHz 300 kbps Long Range RF Transceiver - QFN - 24,,
MCR03ERTJ304,d47bepjnnrg5t87bj876gjna5w,Res Thick Film 0603 300KOhm 5% 1/10W ±200ppm/°C Molded SMD Paper T/R,,
RMCF0402ZT0R00,b6z681msqyh17b6cs9v0x7d004,"Zero Ohm Resistor, Jumper, 0402 [1005 Metric], Thick Film, 63 mW, 1 A, Surface Mount",,
GRM188R61C106MA73D,azh794b3rcj4m92a9sfhq0b1a8,16V 10uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,,
BMA456,e1s8t9f85cgdxacknswxr94w29,BMA456 Series 3.6 V 1.6 kHz Digital Triaxial Acceleration Sensor - LGA-12,,sensor
RC0402FR-074K3L,ezyghy0cawjfrb3yq8cpmf246y,Res Thick Film 0402 4.3K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R,,
CL10B104KB8NNNC,6gdpn01sv8j2p8qr6xxcqmp33r,50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,,
RC0402FR-071K5L,9khxehahnekby9nn2ag6bg9kjy,62.5Mw Thick Film Resistors 100Ppm/ 1% 1.5K 0402 Chip Resistor Surface Mount Rohs,,
WR06X2002FTL,dqe8swph6rkz59dv37798tzz7n,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 20kΩ 0603 Chip Resistor - Surface Mount ROHS,,
